username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,152000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,48200,https://github.com/junegunn/fzf
sharkdp,bat,38100,https://github.com/sharkdp/bat
sherlock-project,sherlock,36900,https://github.com/sherlock-project/sherlock
google,zx,35000,https://github.com/google/zx
wagoodman,dive,34400,https://github.com/wagoodman/dive
BurntSushi,ripgrep,34200,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,31200,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,30900,https://github.com/jesseduffield/lazygit
cli,cli,30400,https://github.com/cli/cli
spf13,cobra,29500,https://github.com/spf13/cobra
n8n-io,n8n,26400,https://github.com/n8n-io/n8n
angular,angular-cli,25700,https://github.com/angular/angular-cli
alebcay,awesome-shell,25500,https://github.com/alebcay/awesome-shell
sharkdp,fd,25300,https://github.com/sharkdp/fd
httpie,httpie,24700,https://github.com/httpie/httpie
ibraheemdev,modern-unix,24700,https://github.com/ibraheemdev/modern-unix
google,python-fire,23300,https://github.com/google/python-fire
tqdm,tqdm,23300,https://github.com/tqdm/tqdm
vercel,pkg,22300,https://github.com/vercel/pkg
